meal_slot,meal_code,dish_name,serving_description,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,folate_dfe_ug,iron_mg,calcium_mg,iodine_ug,choline_mg,dha_mg,epa_mg,vitamin_d_ug,potassium_mg,meets_slot_reqs,coverage_note,main_ingredients
lunch,L03,"Lean beef and bean chili with barley","1 large bowl",640,42,52,24,14,220,7.5,100,30,120,0,0,0.5,780,yes,"Strong iron lunch; useful on days without fish.","lean beef; beans; barley; tomatoes; peppers"
lunch,L04,"Sardine wholegrain pasta salad","1 large bowl",610,38,50,24,10,120,4.0,350,85,90,900,700,8.0,650,yes,"Top calcium + omega-3 lunch thanks to bone-in sardines.","sardines; whole grain pasta; greens; tomatoes"
lunch,L05,"Turkey and lentil stuffed peppers","2 stuffed peppers",620,44,48,20,13,250,6.5,110,35,105,0,0,0.5,900,yes,"Excellent folate lunch with lower glycemic legumes.","turkey; lentils; bell peppers; onion; herbs"
lunch,L06,"Chicken lentil soup with whole grain toast","1 bowl + 1 toast",590,42,47,19,12,230,5.8,130,35,95,0,0,0.5,920,yes,"Comforting lunch option with good fiber and potassium.","chicken; lentils; vegetables; whole grain toast"
lunch,L07,"Trout, potato and spinach plate","1 plate",610,40,44,24,8,180,3.8,140,80,125,700,400,11.0,1100,yes,"Strong vitamin D and omega-3 lunch with moderate carbs.","trout; potato; spinach; olive oil"
dinner,D01,"Turkey and lentil stew with broccoli","1 bowl + broccoli side",620,46,48,20,14,260,7.0,160,40,110,0,0,0.5,950,yes,"Excellent dinner for protein, folate, and iron coverage.","turkey; lentils; broccoli; tomato; onion"
dinner,D02,"Baked hake, sweet potato and green beans","1 plate",560,40,48,18,10,115,2.0,150,160,100,300,90,2.5,1200,yes,"Best high-iodine dinner and one of the lighter evening meals.","hake; sweet potato; green beans"
dinner,D03,"Tofu, quinoa and vegetable stir-fry","1 large plate",580,32,46,24,11,180,6.0,450,20,60,0,0,0.0,700,yes,"Top plant-based calcium dinner option.","calcium-set tofu; quinoa; mixed vegetables"
dinner,D04,"Chicken quinoa vegetable soup with avocado","1 large bowl",590,42,50,22,10,190,4.2,120,35,120,0,0,0.5,980,yes,"Balanced dinner with good potassium and moderate carbs.","chicken; quinoa; vegetables; avocado"
dinner,D05,"Salmon with roasted vegetables and farro","1 plate",640,42,47,24,10,120,2.5,100,90,115,1000,550,13.0,850,yes,"Top dinner for DHA, EPA, and vitamin D.","salmon; roasted vegetables; farro"
dinner,D06,"Beef and quinoa stuffed zucchini with salad","2 stuffed zucchini",650,44,52,26,9,140,7.0,110,30,120,0,0,0.5,820,yes,"Useful iron-forward dinner when fish is not used that day.","lean beef; quinoa; zucchini; salad greens"
dinner,D07,"Chicken and chickpea curry with brown rice","1 bowl",650,38,56,20,12,240,5.2,110,35,95,0,0,0.5,860,yes,"Highest-carb dinner; keep portions measured and pair with salad.","chicken; chickpeas; brown rice; curry vegetables"
